"buyingcomp","compregion","compcountry","product","complementprod"
"""BricoGeek""","""Europe""","""Spain""","""Adafruit Feather nRF52 Bluefruit LE - nRF52832""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit HUZZAH32 – ESP32 Feather Board""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit HUZZAH32 – ESP32 Feather Board""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""BricoGeek""","""Europe""","""Spain""","""Adafruit Pro Trinket - 5V 16MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Buy Zero ""","""Europe""","""Germany""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Buy Zero ""","""Europe""","""Germany""","""Adafruit Feather M0 Adalogger""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Buy Zero ""","""Europe""","""Germany""","""Adafruit Feather RP2040 - Pink""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Buy Zero ""","""Europe""","""Germany""","""Adafruit Perma-Proto HAT for Pi Mini Kit - No EEPROM""","""Stacking Header for Pi A+/B+/Pi 2/Pi 3 - 2x20 Extra Tall Header"""
"""Buy Zero ""","""Europe""","""Germany""","""Adafruit PiTFT Plus 320x240 2.8\"" TFT + Capacitive Touchscreen""","""Pi Model B+ / Pi 2 / Pi 3 - Case Base and Faceplate Pack - Clear - for 2.8\"" PiTFT"""
"""Cool Components""","""Europe""","""United_Kingdom""","""Adafruit Feather RP2040 - Pink""","""Adafruit FeatherWing OLED - 128x32 OLED Add-on For Feather"""
"""Digital Impuls AS""","""Europe""","""Norway""","""Adafruit 16-Channel PWM / Servo Bonnet for Raspberry Pi""","""5V 4A (4000mA) switching power supply - UL Listed"""
"""Digital Impuls AS""","""Europe""","""Norway""","""Adafruit 16-Channel PWM / Servo HAT for Raspberry Pi - Mini Kit""","""5V 4A (4000mA) switching power supply - UL Listed"""
"""Digital Impuls AS""","""Europe""","""Norway""","""Adafruit HUZZAH32 – ESP32 Feather Board""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit 16-Channel 12-bit PWM/Servo Shield - I2C interface""","""Shield stacking headers for Arduino (R3 Compatible)"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731""","""LED Charlieplexed Matrix - 9x16 LEDs - Red"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit AirLift FeatherWing – ESP32 WiFi Co-Processor""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Assembled Data Logging shield for Arduino""","""Shield stacking headers for Arduino (R3 Compatible)"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi""","""Flex Cable for Raspberry Pi Camera or Display - 100mm / 4\"""""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi""","""Flex Cable for Raspberry Pi Camera or Display - 200mm / 8\"""""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi""","""Flex Cable for Raspberry Pi Camera or Display - 24\"" / 610mm"""
